,tweet,label
3527,swear last night watch every tiktok,0
4014,way go,0
2459,life shitty put therapy time week,1
5302,leadership journey rise rank journey help around u rise,0
5915,smile,0
130,worst feel feel unwanted person need,1
814,follow simply follow back unfollow work like sly,1
7187,know enough enough offer something valuable whatever go,0
8263,ca believe avenger movie last one next one come,0
5727,know message would spread without generosity others proud march inspire amp change world grateful,0
1917,wow okay,1
1401,care much,1
1596,accidental cut hurt word,1
270,hurt shut turn total bitch shut emotion act differently towards everything everyone hate,1
5584,thank everyone itn leave feeling inspire love inspire,0
4365,today year old diagnose adhd explains everything,0
4589,think peanut,0
1658,happy one moment sad next,1
3067,ambition futile defense mechanism abyss,1
1809,mood swing,1
4623,bye la way back austin take nclex,0
8149,somewhere earthquake publicist like sorry hurricane,0
7808,hey thing might bad right least still way,0
2491,ca anymore,1
6715,absolutely necessary flood mind positive thought,0
277,ever sad physically hurt,1
1772,close break,1
3255,peace love sadness,1
6364,use time energy talent best right,0
444,die dont come grave amp sit tell much love miss thing need hear alive,1
4908,poor leader tell many people work great leader tell many people work,0
2366,maybe time another visit crisis,1
2163,want die,1
2655,imagine everyday life,1
2186,shit night,1
950,change anyone ca handle problem mine,1
4140,tire dumb old men,0
2293,day clean oops,1
7857,stay safe week take advice,0
1139,ever want cry tear come stare blankly space feel heart breake piece,1
4358,god name possess tell asian parent also like woman oh god oh god oh god lmao,0
7827,stay every night watch sitcom rerun like every night prom night,0
7550,christmas tree sever root constrain heavy light serve cruel warning houseplant,0
5206,best hope,0
5295,emotion like vomit hold long come time pretty messy,0
6087,egirlrejects thursday fuck keep thinking saturday,0
5882,day urge struck could resist post another pic srmani,0
6636,process spiritual unfolding must watch heart know truth patient unfolding process,0
568,true friend someone see truth pain even fool everyone else,1
4748,ca wait blizzcon awesome time cosplaying valeera hearthstone stage,0
5337,challenge unknown future much exciting story accomplish past,0
3560,leave twitch week fun ride ama,0
2187,hate voice,1
3811,bang chris buy micro biz give away operator tho want keep greedy bastard,0
857,unfortunately ca make love way love,1
5982,badass gamer hot hell king twitch bf amp supportive cookie bake try best gf,0
7620,tried seance dead grandparent immediately devolve political argument,0
1773,wish,1
2566,scar heal mean pain,1
2608,please someone dm desperate someone talk,1
6350,god put purpose purpose unfulfilled stay connect source everything line,0
7693,joy swap prince story celebrity crush snl memory crazytalented mayarudolph aka kamalaharris hear conversation,0
2791,paranoid nah paranoid,1
5365,people work take control thing matter work take control thing matter call politics,0
720,word fail music speaks,1
6894,guardian spirit messenger creator provide another valuable link universal intelligence divine power,0
2978,wait tell suffer,1
7278,closed door mean cut permanently challenge obstacle tool use,0
5665,leadership license less leadership responsibility,0
6184,anyone miss housewife podcast live infamy thanks everyone watch live lady come together happy everyone seem love,0
1099,horrible person anything probably hat,1
3065,functional human time think,1
8069,two thousand six hundred fifteen day avatar,0
2144,probably want blame want either,1
6600,fear bear lack understand need control important absence love,0
2136,,1
4532,late night league legend,0
6476,far move along path toward spiritual life must willing release,0
2993,loser fine,1
6054,anybody else throw money problem instead throw therapy,0
3629,trust random guy own pub see wing price go trust feed cpi inflation,0
861,definition stupid know truth see truth still believe lie,1
3959,true underdone,0
7679,spoke jameelajamil person remain socially emotionally distant hear conversation,0
8234,thrill talk howardstern new book evolution long career,0
6974,thankful enews take look back fixmylife previous guest final season air,0
6133,mod would like mizkif give money cancelmizkif,0
7280,new mind matter meditation soothe heal mind iyanla vanzant available io android iyanla iyanlavanzant iyanlameditations mindmattersmeditations fixmylife iyanlafixmylife soothingmeditations peace peacefulmeditations,0
1611,help others,1
7633,nothing like play covidsafe version mystery train friend jimmyvmusic much thanks warrior truetonemusic,0
4911,play safe mean always end mediocrity,0
3229,attitude good two minute,1
3577,find crack couch invest somewhere today put,0
915,keeper bad keep man really know treat,1
6144,big shout sponsor stream suicide prevention month try raise awareness help much possible percentage purchase go directly cause want buy anything please use code qt,0
4337,want help covid effort know start nih study number undetected case u never diagnose consider send blood sample test antibody,0
2843,three year ago friend petracollins come ate banana house start write thing become thing,1
5341,company see fuel advance cause see purpose amp treat people like disposable commodity,0
3217,yearend list tire very tired get enough silence love darkness love closing eye,1
183,pretend like nothing happen want people see strong know painful emotional really,1
256,much mind end say nothing,1
2377,hug leave rain hail hug tell everything go ok,1
7610,way go stand line hour vote say person camp blink ticket,0
5008,mentor someone walk ahead u show u mentor walk alongside u show u,0
1126,know like want die hurt smile try fit hurt outside try kill thing inside,1
679,respect enough walk away anything long serve grows make happy,1
6714,act meditation best way get plug turned power divine,0
8020,think halloween go dress last year dayton ohio comptroller mel hindman,0
5353,leadership education best leader think student teacher,0
2645,believe ghost yes actually ghost hunter haha,1
8145,year comiccon go dressed gary wick john wick old brother successful career advertising buying amp wine country conancon,0
2827,know fuck go look like someone know fuck go,1
7562,might remind pfizer prefer customer since,0
1351,look mirror one thing like see,1
4938,want die rich want die happy focus rich may end happy focus happy ll likely end rich,0
1118,type girl could tear stream face amp still insist everything fine,1
3152,sorry busy lose interest thing find meaningful,1
5145,ability group people remarkable thing hinge well people pull together team,0
955,ignore one talk behind back belong behind,1
1679,one truly understands,1
4083,easy hard later hard easy later much life explain pattern,0
3211,feel lonely weird,1
2192,useless,1
6931,lesson go back erase hurt start acknowledge atone hurt cause must also know accept hurt take time may never enough fixmylife,0
4279,twitter dm temporarily disable sendingreceiving many past day lt able respond anything bit love support dm ig trade discord fb need anything,0
7861,get together friend today record something silly take mind thing listen,0
4733,imtow boy come overwatchrumble group undefeated playoff tomorrow,0
1540,suffering,1
2550,well guess ll get sleep,1
5537,tell people job get worker trust people get job do get leader,0
7350,ask jackblack final guest tb show almighty god bring thunder,0
830,three type friends life friend reason friend season friend lifetime,1
5448,fight something focus thing hate fight something focus thing love,0
2284,ok,1
3054,choose irrational fear irrational fear chose,1
3612,peter thiel basically call bitcoin,0
7544,go like math professor take ted kaczynski,0
5607,leadership neither rank title choice choice provide care amp protection responsible,0
2938,ca get bed,1
5536,leadership need look like modern day sit host cbsthismorning discus,0
4216,vibe check,0
6830,fix leave week episode one bumpy ride tune fixmylife saturday owntv,0
200,hurt much feel become less less important one person reay mean,1
6964,new improve audio content update available mind matter meditation soothe heal mind iyanla vanzant available io android iyanla iyanlavanzant iyanlameditations mindmattersmeditations fixmylife iyanlafixmylife,0
843,assume learn judge understand hurt feel say think,1
6847,life much imagine yet must give permission imagine want experience,0
9,tire body tired mind mess really want lay bed never get tired life,1
870,six letter two word easy say hard explain harder move,1
470,ever feel ok sad time want talk someone hug feel annoy stay quiet,1
94,fgjj,1
7560,anyone else still think person orgy brussels oh good neither,0
3723,best book ethereum origin story,0
2097,everyone would better dead,1
1138,behind smile hurt heart behind laugh fall apart look closely see girl,1
1625,feel leave even though many people around,1
6378,way work dishearten must willing try another way,0
6457,step moment one right,0
5485,drive order interrupt beautiful chaos need creativity thrive,0
6299,hey guy excite announce texas success find dad rajjofficial show month,0
7267,think say response person experience bring peace change mind,0
3729,new video editor clip best bit podcast nobody need listen whole thing,0
4432,solution poor sleep habit never know need,0
2502,fuck past hr make sure ok another girl make every effort amp use disgrace,1
6481,money fine clothes fancy car public acknowledgment substitute purpose,0
7784,normal people horny irish teen choose sex instead unnaturally suppress urge go comedy,0
6104,nevermind cause fedex lose fucking package dream month oh would help anyway tell lose nope big fuck,0
602,stick really want talk want annoy,1
6882,meditation order think therefore mind heal wound place mind grow,0
5643,great leader cheer others loss cry win focus work lead greatness,0
2448,worried ll always mental breakdown learn handle thanks,1
5688,may pattern thing succeed mean formula success,0
85,smile want cry talk really want quiet pretend like happy really,1
4087,great inception onboarding cc joshelman,0
2150,day clean,1
3587,never famous youtuber literally make face,0
5367,say leader make leader lead make leader,0
3971,think deel new cartainc big,0
1698,feel ca anything right,1
5793,boss want pay result employee want recognition effort bos recognize effort get even good result,0
5726,true value leader measure work leader value measure work inspire others,0
1031,say fine never say hurt,1
4694,admining hearthstone spring playoff weekend,0
3980,bonkers growth rate,0
7511,think good imagine second half tom brady nfl career,0
4219,get second covid shot right meow,0
2025,back suicidal shit,1
5383,well lead company people talk strength value poorly lead company people complain pay amp benefit,0
7500,prediction super bowl lv tampa bay beat kansas city xxxii xxvi brady throw iii touchdown include ii iv quarter lose mmmcmlxv follower tweet,0
7270,iyanla affirmation remind u stand take iyanla daily anti viral message day originally air april,0
917,seven billion people world right let handful negative one ruin happiness,1
2904,keep meaning different person,1
3156,milk feed gon na eat,1
1724,be currently overthinking,1
5869,giver advance world taker advance hold world back,0
674,afraid feel feel try remember alone love need special,1
1528,thought make consider go,1
675,perfect person make lot mistake still love stay know really,1
1646,depression happen anytime anywhere,1
2727,august like darcie put vomit pantry sign vomit preorder,1
5163,always plan fact plan ever go accord plan,0
3744,negotiation service,0
5214,listen podcast sroakes new book optimismpress,0
1984,want die,1
3926,amazon amzn stock price last election,0
3764,one favorite framework visualize beautifully one jackbutcher,0
7042,greeting beloveds welcome series finale fix life thank tune tonight past seven season fixmylife,0
4447,omg shut shannondorf youre loud,0
6446,time thing love slow something miss,0
1944,idk always scar partner gon na leave,1
4922,language matter talk everyone fall important pick back right place others lend hand,0
6241,quarantine day get tough,0
7027,spiritual warrior responsible believe choose believe truth take iyanla daily anti viral message day originally air may,0
7184,make choice let go thing people cause grief pain must choose pain free free grief,0
3072,whisper sex leave alone,1
6770,could ask good support drsteveperry fixmylife,0
1435,go less care,1
6763,find interesting drsteveperry understand david jr perfectly perhaps listen heart ear note parent silent long learn speak loud fixmylife,0
5382,layoff like liposuction quick fix make u look shape instead hard work create healthy body,0
2539,say wo last forever thought go away wish would go away,1
7272,unloving person behaves great need love healing,0
6,hurt shut turn total bitch shut emotion act differently towards everything everyone hate,1
7728,hair gotten long still magical power,0
6959,fix child plan live guide support nurture love best way,0
7886,anyone false teeth refer tongue cool new stepdad,0
4915,genius top make team look good good team make person top look like genius,0
78,social anxiety suck unintentionally make sad feel alone even sometimes dont even know whats wrong,1
5655,way find work,0
4232,try rope nonconsenting woman fetish try rope nonconsenting woman fetish try rope nonconsenting woman fetish,0
8138,every great superhero need worthy nemesis mine kristenschaaled conancon,0
7744,go check theoutpostmovie today true harrow story intense battle afghanistan war also plan floss one care,0
1933,even best friend anymore,1
990,pain feel realize important someone think,1
4285,need hear alone fault believe sorry dm door always open people care support,0
7411,admit part hop second vaccine would turn handsome patriotic super soldier,0
375,ever write really long message halfway like know even care end deleting,1
2497,another shitty day still wonder still,1
6010,tune stream today pm pst watch play blade amp soul revolution bnsr daretostrike windwalking ad,0
6315,daily guide spiritual principle live best life awakening app new content available awakeningsapp iyanla iyanlavanzant actsoffaith fixmylife iyanlaguidance spiritualguidance spiritualcoach dailyguidance awakening,0
4785,happens give access immortal snapchat come hang u immortalsgg,0
1547,coldness,1
4669,today good day lcs imteam friend,0
2392,pretty upset,1
1571,say pity,1
2037,misgendered much today,1
1727,okay leave alone want talk anyone right,1
859,real men stay faithful time look woman busy love one,1
7659,never felt like attack,0
4179,moviepass need hang bit longer could blame covid,0
4138,techcrunch lambda school vcs,0
4852,new profile pic dis,0
357,ever randomly start cry hold emotion pretend happy way long,1
7239,spirituality reliance internal universe vehicle carry journey life,0
6645,new content download awakening app today live best life awakeningsapp iyanla iyanlavanzant actsoffaith fixmylife iyanlaguidance spiritualguidance spiritualcoach dailyguidance dailyprinciples liveyourbestlife awakening,0
1584,exist,1
2837,insecurity forever,1
759,person true color always show within time may fool moment patient one lie forever,1
2560,day clean,1
6704,prayer true form power shift circumstance bring peace hard time provide clarity uncertainty start june join day prayer challenge recognizeand overcomethe barrier effective prayer,0
5474,leader get people leader care people,0
2015,nobody get fuck everybody around,1
726,ever wonder anyone read twitter like everyday check,1
7151,desire anything divine idea receive god idea,0
3074,life annoy journey,1
232,sad know reason oh plenty reason really sure one time,1
2702,beautiful,1
6278,coworkers halloween lonely,0
7073,today laugh face adversity stop try figure hand problem high power,0
6811,get daily powerful coach iyanla soothe voice new updated awakening app awakeningsapp iyanla iyanlavanzant actsoffaith fixmylife iyanlaguidance spiritualguidance spiritualcoach dailyguidance dailyprinciples awakening,0
928,many u know let someone love u let scar make u defensive push people away,1
7741,church still close force sneak glance watch home,0
5965,delight professional work,0
2593,do,1
4992,leadership expertise leadership constant education,0
4682,everything ever want league skin,0
7647,roryscovel business comedy think brave try hear conversation,0
3408,hate u cause anus,1
4979,work private megaphone tell world believe,0
7357,show leave wrap nightly format welldeserved downward spiral,0
7509,ironically sheriff nottingham app let people trade whatever want,0
7738,hear tomhanks discuss new movie greyhoundmovie snl memory squeaky voice,0
1365,burden,1
2675,face annoy,1
502,leave someone least tell painful abandon know worth explanation,1
3797,,0
262,really hard person understand major issue talk feeling thought really sorry try,1
4679,dog table,0
1794,disappear never come back,1
6661,trust divine provide everything need live fully peacefully abundantly,0
6518,chance thing forget thing want avoid,0
237,hurt get scar get attach always think everyone love always end hurt,1
5695,get big fan ldavidmarquet understand leadership well leaderleader,0
5738,voici conseils que jai dcouverts au fil de annes pour parler en public de faon inspirer votre auditoire,0
4601,get immortal internship info get immortal internship info everyone get immortal internship info,0
7330,late night gon na start pitch sitcom far get something friend place,0
7217,get daily powerful coach iyanla soothe voice new updated awakening app awakeningsapp iyanla iyanlavanzant actsoffaith fixmylife iyanlaguidance spiritualguidance spiritualcoach dailyguidance awakening positivethinking,0
6494,everything life process event occur one time process complete face difficulty life question must first answer process step take begin work situation,0
5264,management practice manipulate people personal gain leadership responsibility inspire people good group,0
3997,guy thesamparr sick week send bat signal last minute guest tag em,0
788,matter many time do wrong ll continue faithful honest love sooner later someone appreciate,1
5481,break eye contact check phone degrade trust let keep phone away meal amp meeting,0
8101,land greenland negotiation begin conangreenland,0
1416,look everyone around constantly compare lose everytime,1
1200,feel uglier ugly everytime see reflection,1
8246,tell wife never hear something call mother day hall pas,0
6340,something wash hand move,0
6819,beloved afraid admit wrong okay make mistake,0
341,tire tired never good enough tired get put tire cry tired insecurity tire tired,1
6203,important lot u right even think need hear plea listen,0
2817,feel good know suck,1
885,stop expect thing person know deep heart never give,1
2294,wan na,1
3895,good company,0
2507,wish someone care,1
7257,success begin positive attitude valuable asset may,0
1687,ll regret,1
3678,favorite part story greg move back college campus alabama even tho like build app college student go customer,0
7452,honor include americanmasterspbs documentary flannery connor life legacy tune premiere pbs tonight,0
3058,recent study show tired,1
1368,everyone busy guess worth time,1
3324,almost believe,1
7846,second current record touching face,0
5170,deal extreme stress open emotion ask help accept offer create safe space others watch guyraz full conversation build resilience series,0
7536,happy twoweek birthday jesus never hurt kiss little deity as,0
628,perfect person many thing wish always continue learn become good,1
3403,well well well turn table,1
6295,honor find rajjofficial favorite girl pepelaughhedidntknow,0
1086,hello love know time hard right remember love always you,1
6002,ocd fuel hypochondria sneak back life like,0
6254,worry guy crystal mercury gatorade gemini never get corona virus,0
2982,awake ready mediocre,1
1612,okay would choose either,1
21,think afraid happy whenever get happy something bad always happen,1
5196,,0
2767,aug cometh superdoom anthology poems ft good shit print cult booksmother meat heart amp scarecrone amp last sext new intro get sign copy,1
4321,someone please stop buying kitchenaid mixer,0
5169,get every handshake hug mean much happymothersday,0
7638,favorite game play day guess whether tweet current event irrelevant word write,0
4070,buffett invest movie studio year buy significance world money dangerous combination tell wb,0
7777,scandal involve christina applegate would call,0
7593,remember need start quarantine today thanksgiving keep quarantining go,0
1866,pretty girl always get attention huh,1
5592,safe good sidewalk swim pools life require risk get anywhere,0
6552,new improve audio content update available mind matter meditation soothe heal mind iyanla vanzant available io android iyanla iyanlavanzant iyanlameditations mindmattersmeditations fixmylife iyanlafixmylife fearnot,0
4951,world increasingly polarize harder bridge divide disagree,0
1967,lol therapy get cancel today,1
6893,judgment create suffer need forgiven,0
5775,team group people work together team group people trust,0
3638,,0
3288,headache life really long,1
3207,two type people isolate,1
7339,reminder available play evil madman blockbuster independent student movie,0
2713,love body,1
4563,take forever finally officially nursebaemax state california,0
6260,pogchamp,0
8189,great luck meet new ghanian friend name william gastroenterologist appointment tomorrow be conanghana,0
826,funny think actually mean something someone turn around prove wrong,1
4548,girl triangle acute one fasffy xraehea,0
3270,felt feel tweet,1
8196,conanghana day,0
5746,people ignore opportunity see danger entrepreneur ignore danger see opportunity,0
766,rather enemy slap face friend stab back,1
6015,go watch let know much agree every choice,0
7193,remember awful felt criticize next time start criticize someone else,0
4469,new year new dream bedroom pc setup,0
3652,people ask time create content top job kid etc say tweet poop,0
1164,afraid tell people feel destroy bury deep inside destroys,1
4093,uh guy get toilet paper nowadays,0
2662,break think,1
4460,facebook trynna say,0
2307,hate life,1
7068,keep mind trouble come pass stay worry,0
2326,need mentor back,1
1645,dear one want,1
6651,serve others serve divine,0
7036,beloved it awhile since together invite remember heal process court public opinion every guest demonstration courage many vulnerable may kind less judgmental fixmylife,0
7222,love heart close,0
6495,must ready mind body spirit make change people convince everything think say happens preparation love right honor keep talk,0
3216,editorial director negative thought,1
7288,may allow believe mediocre meaningless average usual divine,0
2900,tire learn love,1
8009,support injure veteran via homesforourtrps bid ticket show autographed swag hfotcelebauction,0
413,want lie bed participate life,1
2092,already fail twice,1
4268,pretty sure try swimsuit pack time get wear one summer,0
7730,statue future scuba diver,0
4019,subscribe pomp podcast get hot press,0
6684,remain open something big know go,0
6353,hold onto past bringing baggage present chance crowd future,0
7992,wait guy pay twitter,0
7887,buy white noise machine play sound joe biden reading tv guide recap succession,0
3338,,1
4713,los angeles one place could find enjoy macaron big head,0
840,need talk one sentence power make remember every bad thing ever do life,1
673,worst feel close someone someone always like like,1
150,bad sadness sadness teach hide,1
2039,therapy tomorrow another week,1
1799,people leave eventually,1
1202,ever stand shower break walk like nothing happen,1
5804,want achieve anything world get use idea everyone like,0
2145,thought kick know still alive,1
7883,jimgaffigan bond shock whiteness halfassed career,0
5597,luxury put interest first honor put interest others,0
1390,hurt bad lie nothing,1
153,kinda sad realize person use tell everything idea happen life,1
3345,two favorite song maybe,1
1530,brokened ring shatter dream,1
7768,god look human right think damn maybe try dinosaur,0
4776,ca sxsw game school think burn socialize bit need ll curl ball gt lt,0
4306,tylerrosen horrible enough see post reach still remove business cofounded header teamrallycry company afraid tell anyone try work violate,0
1037,mess,1
5317,would invite disruptive dinner party question virgin amp richardbranson ask,0
1987,feel like shit lately,1
143,ca stand quickly mood change effect whole life nobody understand people get really annoy,1
3984,little story meet suumit invest one fast grow company ever see,0
3483,sorry love throw shade,1
6309,prosperity state mind love give prosperous,0
6784,come moment must decide go believe believe power power,0
5101,book club simon back today onetimeonly conversation together well join simon live pm et youtube linkedin facebook twitter see,0
3899,like announce decide move bay area,0
1976,cry sleep become everyday thing,1
1130,happy new year babe survive proud guy,1
1884,sad,1
4654,good night friend,0
3069,don ask me shit,1
2393,well mentor one session leave,1
2786,selfesteem ego,1
2951,honey hater,1
2442,cut cut,1
7612,realize sunday get extra hour,0
4722,bianca danielle world cartetris champion,0
8111,people support endanger specie act taste bald eagle souffl,0
6566,important acknowledge feeling beat feeling good bad,0
4543,many people red polos target tonight manage ask three help,0
2679,horoscope fuck,1
5928,anyone else hard time get son go bed,0
475,dont think people understand stressful explain whats go inside head dont even understand,1
5531,great company cheer others loss cry win instead focus work make great,0
5372,community group people agree grow together,0
6628,change without chaos real lasting change come result tremble foundational level exists,0
6806,change every new experience grow learn every moment every day,0
3601,little idea pygmalion effect big implication,0
8008,doughnut ringshape originally invent american baker look good way sex cake,0
1892,feel like shit,1
6158,watch today pogchamps match dream could blunder queen,0
1804,school fake smile specialty,1
7524,easy compromise lower maximum wage hour,0
5283,leadership journey help rise rank leadership journey help around u rise,0
8226,bet minute john wick enters build one upset cleaning staff,0
7125,know thing perfectly first time around need know best,0
6975,spiritual philosophy foundation upon stand time,0
7665,thanks heatwave get picture hollywood boulevard tank top darth vader thong elmo,0
4288,find joy quarantine plant baby baby bulbasaur wakuwakuisland amazingly creative fantastic work super communicative,0
713,ever want scream one fucking like someone face,1
2801,let feel bad,1
4199,energy age,0
4528,real degenerate hour,0
3514,smart contract dummy second explanation,0
5587,confidence leadership confidence trust others,0
7212,attract live focus upon strong intent unfortunately u monitor thought therefore idea thinking,0
1506,heart break lead heart pain,1
5183,ready part join bookclubwithsimon live youtube start pm et today see soon,0
274,sorry trust issue give someone everything toss away like nothing something inside break,1
1910,mentally psychically emotionally tired,1
8156,meryl streep win emmy big little lie think toss car window way home,0
3034,start think feeling go keep happen,1
4327,take adderall study gre hyper focus twitter dot com,0
4473,super sad hgc come close excite see fun tightknit resilient community keep esports dream alive thanks let part head admin dhatx,0
1523,take word heart even really mean,1
4065,morning routine do,0
7337,brenna claim fan think come podcast get arcadefire,0
451,type haha ca even smile act like happy want cry tell everyone okay,1
3277,mood stop lying,1
1517,nobody one alone,1
3536,bought one business microacquire expect buy coming year thanks andrew let invest,0
3600,agency investor outperform angel investor next year eg latecheckoutplz communityproduct tuskventures regulatory,0
2731,never relax,1
141,think okay suddenly nighttime alone really sure distract anymore,1
765,call give call best moving,1
8218,candidate try beat trump take away great weapon change name lil lyin crookednuts,0
3907,call man fabric get thread good summary podcast apompliano,0
6722,today speak truth hear truth see great divine truth every situation encounter,0
2552,ll text morning,1
6331,success product put success worth effort positive mind genuine smile,0
4315,clarify choose remain uninformed willfully pridefully ignorant minimize speak clout farm shit good donating fact great way contribute cause able blacklivesmatter,0
330,take deep breath close eye want scream loud strength keep everything inside,1
1325,want end,1
6567,god job make life well u god sent u make life well,0
2745,headache probably exist,1
8134,kind surprise mueller show public testimony wear sleeveless pantera tshirt,0
7312,far stupid episode ever do thanks laughs flula,0
1476,mentally physically exhaust,1
6993,tonight new episode fixmylife owntv,0
4211,quiet birthday omakase home happy celebrate year international woman day,0
3546,hit make handful key life adjustment give way energy happiness help shed dad bod share list work help dude searly take control number one,0
6641,truth long believe good enough never feel good enough,0
680,sometimes smile pretend everything okay hold back tear walk away care,1
2143,plan make christmas year ago dead,1
5518,difference work together work office,0
13,sorry fuck sorry failure sorry disgrace sorry,1
4860,pregame protein shake leggo,0
4522,happy nationalloveyourpetday aka every day,0
5143,inspiration spark inside u present time fuel idealism love family friends coworkers clip conversation orange conference founder ceo reggie joiner,0
2530,anybody,1
3160,entrepreneur way feel shitty,1
6089,riotgames hate fuck dog shit game dog shit thanks,0
8270,detail lose story jesus frequently early day begin turn water wine,0
7289,criticism offer love open eye blind spot make u aware unconscious habitual response,0
7531,best vaccine pfizer moderna dave hot vaccine,0
6121,could ya still play karljacobs,0
6805,depend anyone make happy make feel good lift spirit sure way place isolation,0
3397,bf send one package send two package valentine gift really love lt kickassyuca,1
3124,excerpt milk fed,1
5603,dear congress please stop say act interest know act interest leaderstellthetruth,0
7574,walk outside wear couple visit moscow cross street say hi conan giveaway impressedbyrussians,0
7349,,0
944,hate lose friend get relationship,1
4538,many day take build habit second stream back minute social eating dream daddy,0
987,good heart help much trust much give much love much always seem hurt,1
6402,think speak bring best possible outcome existence focus go think,0
6977,issue makeover issue need show woman little girl disappoint daddy need shift little boy disappoints mother grow look good fixmylife,0
155,hate feel necessarily sad feel really empty,1
6984,come next owntv iyanla fix life,0
6888,release toxic memory eliminate stress forgiveness process add year life,0
1974,,1
4578,glo,0
4367,gamer bros claim people mom voicechat consider psa get screen std every month sexually active proactive health sake partner,0
5859,let u unite work together great good,0
3215,insecure turn,1
5777,leader take credit thing go right willing accept responsibility thing go wrong,0
5533,dear mta let hope emergency,0
7990,really mess badly year order family thanksgiving dinner mexican place call del turko,0
242,ever write really long message halfway like know even care end deleting,1
1187,ca understand never experience,1
2472,fed,1
8211,wearorange national gun violence awareness day,0
1291,literally one ever,1
5857,leader one speaks last act first,0
4055,believe win election,0
855,someone always prettier someone always smarter someone always young never,1
6038,hey jschlatt thank channel do without,0
1152,amaze much long sleeve fake smile hide,1
5718,thing female leadership matter one question recent interview,0
7523,look forward sweat small stuff,0
4178,interest see grow,0
1254,numb,1
5945,im back bitch,0
4555,try enjoy thanksgiving leftover,0
2085,someone tell cut life short day know remind try,1
